,on_street_name,total_injured,total_killed,accidents
495,33 Street,0.0,0.0,2
496,33-06 88 Street,0.0,0.0,1
497,33-10 34 Avenue,0.0,0.0,1
498,33-11 37 Avenue,0.0,0.0,1
499,33-14 71 Street,0.0,0.0,1
500,33-19 9 Street,0.0,0.0,1
501,33-44 93 Street,0.0,0.0,1
502,33-52 81 Street,0.0,0.0,1
503,34 Avenue,4.0,0.0,2
504,34 Street,2.0,0.0,2
505,34-11 34 Avenue,0.0,0.0,1
506,34-13 103 Street,0.0,0.0,1
507,34-33 Junction Boulevard,0.0,0.0,1
508,34-48 97 Street,0.0,0.0,1
509,34-51 48 Street,0.0,0.0,1
510,35 Avenue,8.0,0.0,6
511,35 Street,2.0,0.0,5
512,35-15 92 Street,0.0,0.0,1
513,35-20 Leverich Street,0.0,0.0,1
514,35-21 94 Street,0.0,0.0,1
515,35-26 Francis Lewis Boulevard,0.0,0.0,1
516,35-28 19 Avenue,0.0,0.0,1
517,35-38 Junction Boulevard,2.0,0.0,1
518,35-50 21 Street,2.0,0.0,1
519,35-59 99 Street,0.0,0.0,1
520,36 Avenue,2.0,0.0,3
521,36 Street,2.0,0.0,1
522,36-05 29 Street,0.0,0.0,1
523,37 Avenue,6.0,0.0,11
524,37 Street,2.0,0.0,2
525,37-12 75 Street,2.0,0.0,1
526,37-16 63 Street,0.0,0.0,1
527,37-41 102 Street,0.0,0.0,1
528,37-57 69 Street,0.0,0.0,1
529,37-64 103 Street,0.0,0.0,1
530,38 Avenue,0.0,0.0,3
531,38 Street,2.0,0.0,5
532,39 Avenue,4.0,0.0,3
533,39 Drive,0.0,0.0,1
534,39 Place,2.0,0.0,1
535,39 Street,8.0,0.0,6
536,39-11 51 Street,0.0,0.0,1
537,39-12 108 Street,0.0,0.0,1
538,39-12 50 Street,0.0,0.0,1
539,39-15 44 Street,0.0,0.0,1
540,39-39 47 Street,0.0,0.0,1
541,4 Avenue,16.0,0.0,23
542,4-76 47 Avenue,0.0,0.0,1
543,40 Avenue,0.0,0.0,2
544,40 Road,0.0,0.0,1
545,40 Street,2.0,0.0,2
546,40-05 Vernon Boulevard,2.0,0.0,1
547,40-18 Berrian Boulevard,0.0,0.0,1
548,40-18 Hampton Street,0.0,0.0,1
549,40-18 Junction Boulevard,0.0,0.0,1
550,40-20 Beach Channel Drive,0.0,0.0,1
551,40-32 82 Street,0.0,0.0,1
552,40-33 69 Street,0.0,0.0,1
553,40-34 102 Street,0.0,0.0,1
554,40-42 94 Street,0.0,0.0,1
555,40-52 Hampton Street,0.0,0.0,1
556,40-72 Case Street,0.0,0.0,1
557,41 Avenue,0.0,0.0,2
558,41 Road,0.0,0.0,1
559,41 Street,2.0,0.0,5
560,41-02 Broadway,0.0,0.0,1
561,41-05 12 Street,0.0,0.0,1
562,41-16 51 Street,0.0,0.0,1
563,41-54 75 Street,0.0,0.0,1
564,42 Avenue,0.0,0.0,1
565,42 Road,0.0,0.0,1
566,42 Street,4.0,0.0,4
567,42-47 77 Street,0.0,0.0,1
568,43 Avenue,4.0,0.0,3
569,43 Street,2.0,0.0,3
570,43-07 Astoria Boulevard,0.0,0.0,1
571,43-47 Elbertson Street,0.0,0.0,1
572,44 Avenue,0.0,0.0,1
573,44 Drive,0.0,0.0,1
574,44 Street,0.0,0.0,2
575,45 Avenue,2.0,0.0,5
576,45 Street,6.0,0.0,7
577,45-13 46 Street,0.0,0.0,1
578,45-42 Springfield Boulevard,0.0,0.0,1
579,45-78 163 Street,2.0,0.0,1
580,46 Avenue,0.0,0.0,1
581,46 Street,2.0,0.0,2
582,46-40 Francis Lewis Boulevard,0.0,0.0,1
583,47 Avenue,0.0,0.0,2
584,47 Street,0.0,0.0,2
585,47-23 47 Street,0.0,0.0,1
586,47-26 45 Street,0.0,0.0,1
587,48 Avenue,2.0,0.0,4
588,48 Street,6.0,0.0,6
589,48-02 Browvale Lane,0.0,0.0,1
590,49 Avenue,2.0,0.0,1
591,49 Street,6.0,0.0,8
592,5 Avenue,28.0,1.0,35
593,5 Street,0.0,0.0,1
594,50 Street,4.0,0.0,4
595,50-10 48 Street,0.0,0.0,1
596,50-11 Broadway,0.0,0.0,1
597,50-16 31 Avenue,0.0,0.0,1
598,50-35 Northern Boulevard,0.0,0.0,1
599,50-61 40 Street,0.0,0.0,1
600,51 Avenue,6.0,0.0,4
601,51 Street,4.0,0.0,9
602,51-08 111 Street,0.0,0.0,1
603,51-32 Beach Channel Drive,0.0,0.0,1
604,52 Street,0.0,0.0,1
605,52-08 Grand Avenue,0.0,0.0,1
606,52-19 82 Street,0.0,0.0,1
607,53 Street,2.0,0.0,4
608,53-15 58 Street,0.0,0.0,1
609,53-80 65 Place,0.0,0.0,1
610,530F Grand Street,0.0,0.0,1
611,54 Road,2.0,0.0,1
612,54 Street,0.0,0.0,1
613,54-25 58 Street,2.0,0.0,1
614,55 Avenue,0.0,0.0,2
615,55 Street,0.0,0.0,1
616,55-05 Beach Channel Drive,2.0,0.0,1
617,55-15 260 Street,0.0,0.0,1
618,553A Putnam Avenue,0.0,0.0,1
619,56 Avenue,0.0,0.0,1
620,56 Road,4.0,0.0,3
621,56 Street,0.0,0.0,5
622,56-15 55 Drive,0.0,0.0,1
623,56-45 Main Street,0.0,0.0,1
624,56-59 205 Street,0.0,0.0,1
625,57 Avenue,0.0,0.0,1
626,57 Street,4.0,0.0,3
627,57-06 31 Avenue,2.0,0.0,1
628,57-07 Shore Front Parkway,0.0,0.0,1
629,57-27 Little Neck Parkway,2.0,0.0,1
630,57-36 64 Street,0.0,0.0,1
631,57-40 69 Lane,0.0,0.0,1
632,57-48 49 Street,0.0,0.0,1
633,58 Place,0.0,0.0,1
634,58 Street,14.0,0.0,11
635,58-25 Vancleef Street,0.0,0.0,1
636,58-40 55 Drive,0.0,0.0,1
637,58-50 43 Avenue,0.0,0.0,1
638,59 Avenue,0.0,0.0,2
639,59 Street,2.0,0.0,1
640,59-04 Junction Boulevard,0.0,0.0,1
641,59-16 Woodbine Street,2.0,0.0,1
642,59-19 56 Street,0.0,0.0,1
643,59-21 69 Lane,0.0,0.0,1
644,59-35 Grove Street,0.0,0.0,1
645,59-91 Maurice Avenue,0.0,0.0,1
646,6 Avenue,6.0,0.0,10
647,6 Street,4.0,0.0,3
648,6-51 158 Street,0.0,0.0,1
649,60 Lane,0.0,0.0,1
650,60 Place,2.0,0.0,1
651,60 Street,2.0,0.0,7
652,60-01 Madison Street,0.0,0.0,1
653,60-60 Fresh Pond Road,0.0,0.0,1
654,61 Street,2.0,0.0,2
655,61-17 68 Avenue,0.0,0.0,1
656,61-23 190 Street,0.0,0.0,1
657,61-25 Marathon Parkway,2.0,0.0,1
658,61-35 Junction Boulevard,2.0,0.0,1
659,61-42 Springfield Boulevard,0.0,0.0,1
660,61-50 Springfield Boulevard,0.0,0.0,1
